Perusahaan,Tahun,TOBINQ,PDEBT,SIZE,LEV,LIQ,INTCOV,PROF,DR,GROWTH,FIRMAGE,y1,y2,y3,y4,y5,i1,i2,i3,i4,i5,i6,i7,i8,LogTobinsQ,LnTobinQ,Total Assets,LogAssets,MarkCap,LogMarkCap,LogAge,InterestExp,TotalDebt,AveInterestRate,FreeCashFlow
4,2013,1.719741119,0,8.644501612,0.199005133,1.809574175,7.827,0.153864292,0,0.151753946,29,0,0,0,0,1,0,0,0,0,1,0,0,0,0.235463075,0.542173767,441064000,8.644501612,811108100,8.909078738,1.462397998,8670499.553,87774000,0.098782094,441064000
5,2009,0.277923335,1,9.692643907,0.173009049,1.195782521,4.076,0.089213904,0,-0.264385749,50,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.556074987,-1.280409975,4927696000,9.692643907,720462455,8.857611354,1.698970004,107855495.6,852536000,0.126511368,4927696000
5,2010,0.464897298,1,9.786251099,0.137958024,1.142907112,3.99,0.070036848,0,0.179759634,51,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.332642978,-0.765938762,6112953591,9.786251099,1599075205,9.203868889,1.707570176,107301253.1,843331000,0.12723504,6112953591
5,2011,0.30146626,1,9.896089148,0.087879939,1.102999286,4.744,0.052533055,0,0.15233828,52,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.520761287,-1.199097177,7872073635,9.896089148,1019190790,9.00825549,1.716003344,87172023.4,691797351,0.126008033,7872073635
5,2012,0.588040694,1,9.987709235,0.084730142,1.244426354,5.909,0.052416576,0,0.277266555,53,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.230592619,-0.530959127,9720961764,9.987709235,3170323200,9.501103539,1.72427587,86231092.91,823658466,0.104692778,9720961764
5,2013,0.487515745,1,10.01948464,0.139477483,1.39100332,6.325,0.076696448,0,-0.119968699,54,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.312011353,-0.718432691,10458866950,10.01948464,2719993200,9.434567818,1.73239376,126823390.7,1458776441,0.086938195,10458866950
6,2009,0.564174295,0,9.570528013,0.408675444,1.09133439,3.052,0.029929431,0,0.154062458,24,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.248586705,-0.572392042,3719872147,9.570528013,836173605,8.922296454,1.380211242,36478917.43,1520220402,0.023995808,3719872147
6,2010,0.79452971,0,9.57589589,0.342149967,1.137378643,1.923,0.035365484,0,0.340291824,25,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.099889858,-0.230004899,3766135060,9.57589589,2255724144,9.353285988,1.397940009,69262189.81,1288582987,0.053750663,3766135060
6,2011,0.491442494,0,9.71992793,0.364639002,1.336599774,5.897,0.095871712,0,-0.062114913,26,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.308527294,-0.710410348,5247203768,9.71992793,1419550539,9.152150859,1.414973348,85307513.99,1913335145,0.044585766,5247203768
6,2012,0.308733274,0,9.760276263,0.244909757,2.153776833,2.45,0.029870555,0,0.161717526,27,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.510416561,-1.175277565,5758061022,9.760276263,855619503,8.932280675,1.431363764,70202643.67,1410205328,0.04978186,5758061022
