Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE
29,2012,0.94444,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.66670,0.50000,2.70588,2.83333,2.66667,3.00000,2.50000,42.87000,0.00000,6130320000000.00000,670400000000.00000,0.12000
29,2013,0.70952,0.80000,0.50000,0.00000,1.00000,1.00000,1.00000,0.66670,0.50000,2.52941,2.50000,2.50000,3.00000,2.50000,56.29000,0.00000,7883294000000.00000,613698000000.00000,0.13000
29,2014,0.70952,0.80000,0.50000,0.00000,1.00000,1.00000,1.00000,0.66670,0.60000,2.52941,2.50000,2.50000,3.00000,2.50000,0.00000,0.00000,9752477000000.00000,364496000000.00000,0.13000
30,2011,0.28571,0.00000,0.50000,0.00000,0.00000,0.33330,1.00000,0.16670,0.10000,1.79167,1.66667,2.00000,1.00000,2.50000,0.00000,0.00000,218251524639.00000,10421127472.00000,0.01000
30,2012,0.36111,0.00000,0.25000,0.25000,0.50000,1.00000,1.00000,0.16670,0.40000,1.87500,1.50000,2.00000,1.00000,2.50000,0.00000,0.00000,176001000000.00000,14199545260.00000,0.03500
30,2013,0.50000,0.00000,0.75000,0.00000,0.75000,0.66670,1.00000,0.33330,0.20000,1.88235,1.50000,2.00000,1.00000,2.50000,0.00000,0.00000,326960000000.00000,13048575536.00000,0.00610
30,2014,0.46429,0.00000,0.50000,0.00000,0.75000,0.66670,1.00000,0.33330,0.20000,1.88235,1.50000,2.00000,1.00000,2.50000,0.00000,0.00000,366053000000.00000,10313943601.00000,0.01150
31,2011,0.42857,0.00000,0.00000,0.50000,0.50000,1.00000,1.00000,0.00000,0.30000,2.06250,2.16667,2.33333,1.00000,2.75000,0.00000,0.00000,148540732335.00000,33277276437.00000,0.43750
31,2012,0.19444,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.16670,0.30000,2.31250,1.83333,2.80000,1.00000,2.75000,0.00000,0.00000,148541000000.00000,33277276437.00000,0.23300
31,2013,0.21429,0.00000,0.00000,0.00000,0.00000,0.33330,1.00000,0.16670,0.10000,2.52941,2.50000,2.50000,3.00000,2.50000,2.00000,0.00000,156993000000.00000,50006905442.00000,0.19720
31,2014,0.40476,0.00000,0.50000,0.00000,0.00000,1.00000,1.00000,0.33330,0.30000,2.52941,2.50000,2.50000,3.00000,2.50000,0.00000,0.00000,362679000000.00000,47588267793.00000,0.02780
32,2011,0.21429,0.00000,0.00000,0.00000,0.00000,0.33330,1.00000,0.16670,0.10000,1.87500,1.83333,2.16667,1.00000,2.50000,0.00000,0.00000,1710689375000.00000,29855938000.00000,0.11000
32,2012,0.08333,0.00000,0.00000,0.00000,0.00000,0.33330,1.00000,0.16670,0.00000,1.94118,1.83333,1.50000,3.00000,2.50000,0.00000,0.00000,1503500075000.00000,27228598000.00000,0.09000
32,2013,0.21429,0.00000,0.00000,0.00000,0.00000,0.33330,1.00000,0.16670,0.10000,1.86667,1.83333,1.50000,1.00000,2.50000,0.00000,0.00000,5516122336000.00000,1529415959.00000,0.02600
32,2014,0.21429,0.00000,0.00000,0.00000,0.00000,0.33330,1.00000,0.16700,0.10000,1.86667,1.83333,1.50000,1.00000,2.50000,0.00000,1.00000,5512452937000.00000,225319391000.00000,-0.03100
33,2011,0.65476,0.00000,0.75000,0.75000,0.75000,0.66670,1.00000,0.66670,0.50000,2.25000,1.50000,2.00000,3.00000,2.50000,190.90909,0.00000,2238390623070.64000,551267676305.50500,0.34000
33,2012,0.43056,0.00000,0.50000,0.50000,0.25000,0.66670,1.00000,0.66670,0.20000,2.11765,1.66667,2.16667,3.00000,2.50000,436.89320,0.00000,2606194157556.40000,276620415650.03300,0.24000
33,2013,0.69762,0.80000,0.25000,0.00000,1.00000,1.00000,1.00000,0.83330,0.60000,2.11765,1.50000,2.33333,3.00000,2.50000,457.31707,0.00000,3343304864006.90000,508152973475.51400,0.25000
33,2014,0.69762,0.80000,0.25000,0.00000,1.00000,1.00000,1.00000,0.83330,0.60000,2.11765,1.50000,2.33333,3.00000,2.50000,468.50000,0.00000,3248687500000.00000,496212500000.00000,0.17000
34,2011,0.74048,0.60000,0.75000,0.75000,0.75000,1.00000,1.00000,0.33330,0.30000,2.37500,1.66667,2.33333,3.00000,2.50000,74.00000,0.00000,18253817000000.00000,3433645000000.00000,0.14000
34,2012,0.62222,0.40000,0.50000,0.50000,0.50000,1.00000,1.00000,0.83330,0.70000,2.23529,1.83333,2.33333,3.00000,2.50000,60.00000,0.00000,22788971267068.50000,3401705472694.38000,0.03000
34,2013,0.67619,0.40000,0.50000,0.50000,0.50000,1.00000,1.00000,0.83330,0.70000,2.29412,1.83333,2.50000,3.00000,2.50000,44.47561,1.00000,28247845198432.20000,3982529775956.30000,-0.00070
34,2014,0.67619,0.40000,0.50000,0.50000,0.50000,1.00000,1.00000,0.83333,0.70000,2.29412,1.83333,2.50000,3.00000,2.50000,0.00000,1.00000,28629403650000.00000,4158715150000.00000,-0.03150
35,2011,0.78095,0.80000,1.00000,1.00000,1.00000,0.00000,1.00000,0.66670,0.60000,2.37500,1.83333,2.16667,3.00000,2.50000,10.00000,1.00000,921277510000.00000,85076059000.00000,-0.04340
35,2012,0.74444,0.80000,1.00000,1.00000,1.00000,0.00000,1.00000,0.66670,0.50000,2.29412,1.83333,2.66667,3.00000,2.25000,0.00000,1.00000,1073941740484.80000,77320387839.20000,-0.15160
35,2013,0.90000,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,2.29412,2.00000,2.33333,3.00000,2.50000,0.00000,0.00000,1517317066798.00000,103378048346.30000,0.00650
35,2014,0.90000,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,2.29412,2.00000,2.33333,3.00000,2.50000,0.00000,1.00000,155237500000.00000,64325000000.00000,-0.20020
36,2011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.14583,1.16667,2.16667,3.00000,2.25000,0.00000,0.00000,544282000000.00000,23752819524.00000,0.24850
36,2012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.88235,1.16667,2.16667,3.00000,2.25000,0.00000,0.00000,389007000000.00000,55782539000.00000,0.19980
36,2013,0.09524,0.00000,0.00000,0.00000,0.00000,0.66670,0.00000,0.00000,0.00000,1.87500,1.80000,1.83333,1.00000,2.25000,50.00000,0.00000,765881409376.00000,72298136315.00000,0.03970
36,2014,0.09524,0.00000,0.00000,0.00000,0.00000,0.66670,0.00000,0.00000,0.00000,1.87500,1.80000,1.83333,1.00000,2.25000,8.00000,0.00000,897281657710.00000,42022184000.00000,0.17920
