Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE
8,2011,0.45238,0.00000,0.25000,0.25000,0.00000,1.00000,1.00000,0.66670,0.60000,2.85417,2.83333,2.83333,3.00000,2.75000,0.00000,1.00000,10820000000000.00000,1932000000000.00000,-0.16021
8,2012,0.45238,0.00000,0.25000,0.25000,0.00000,1.00000,1.00000,0.66670,0.60000,2.76471,2.83333,2.83333,3.00000,2.50000,0.00000,1.00000,11262135848000.00000,553398054600.00000,0.16000
8,2013,0.65238,0.40000,0.50000,0.50000,0.50000,1.00000,1.00000,0.66670,0.50000,2.58824,2.50000,2.66667,3.00000,2.50000,0.00000,1.00000,13192748725078.30000,2625250952388.58000,-0.42900
8,2014,0.60714,0.00000,1.00000,0.00000,0.75000,0.66670,1.00000,0.83330,0.70000,2.88235,3.00000,2.83333,3.00000,2.75000,0.00000,0.00000,11312500000000.00000,938679012500.00000,0.16800
9,2011,0.35714,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.50000,0.30000,2.35417,1.66667,2.50000,3.00000,2.25000,0.00000,0.00000,3320302000000.00000,1878790806278.00000,0.10030
9,2012,0.36111,0.00000,0.50000,0.00000,0.00000,1.00000,1.00000,0.66670,0.60000,2.41176,1.66667,2.83333,3.00000,2.75000,17.50000,0.00000,3440326000000.00000,951348000000.00000,0.06140
9,2013,0.47619,0.00000,0.50000,0.00000,0.00000,1.00000,1.00000,0.83330,0.70000,2.35294,2.00000,2.50000,3.00000,2.50000,31.50000,0.00000,4022393567309.00000,780999288709.00000,0.05710
9,2014,0.75476,0.20000,1.00000,0.50000,0.75000,1.00000,1.00000,0.83333,0.60000,2.17647,1.83333,2.16667,3.00000,2.50000,0.00000,0.00000,3922000000000.00000,786436429465.00000,0.04340
10,2011,0.56905,0.40000,0.75000,0.75000,0.75000,0.66670,0.50000,0.16670,0.20000,1.97917,1.83333,2.33333,1.00000,2.75000,0.00000,0.00000,464368000000.00000,117736537951.00000,0.22600
10,2012,0.27778,0.00000,0.00000,0.50000,0.50000,0.66700,1.00000,0.00000,0.30000,2.11765,1.50000,2.33333,1.00000,3.00000,0.00000,0.00000,15848834846.85400,11692815456.80800,0.74100
10,2013,0.38095,0.00000,0.00000,0.50000,0.50000,0.66670,1.00000,0.00000,0.30000,2.23529,1.83333,2.33333,1.00000,3.00000,0.00000,1.00000,1078797910103.20000,9147182888.41110,-0.06740
10,2014,0.61905,0.00000,0.75000,0.50000,0.75000,1.00000,1.00000,0.83333,0.40000,2.23529,1.83333,2.33333,1.00000,3.00000,0.00000,1.00000,1012552537500.00000,21241337500.00000,-0.06720
11,2011,0.35714,0.00000,0.00000,0.00000,0.00000,1.00000,0.50000,0.35700,0.50000,2.43750,1.83333,2.16667,3.00000,2.75000,244.10000,0.00000,4645000000000.00000,1660807000000.00000,0.48000
11,2012,0.33333,0.00000,0.00000,0.00000,0.50000,1.00000,1.00000,0.50000,0.50000,2.47059,2.16667,2.66667,3.00000,2.50000,380.00000,0.00000,5229507742184.28000,1575946251734.68000,0.37600
11,2013,0.33333,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.33330,0.30000,2.23529,1.83333,2.33333,3.00000,2.50000,252.00000,0.00000,5861233353431.60000,2211686319979.21000,0.13200
11,2014,0.38095,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.83333,0.50000,2.41176,2.16667,2.33333,3.00000,2.75000,110.00000,0.00000,5551335725000.00000,2516316212500.00000,0.00100
12,2011,0.94762,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000,0.83330,0.70000,2.72917,2.16667,3.00000,3.00000,2.75000,407.00000,0.00000,14349763492866.00000,5567418126144.00000,0.51000
12,2012,0.78611,0.80000,0.75000,0.75000,0.75000,1.00000,1.00000,0.66670,0.70000,2.76471,2.66667,3.00000,3.00000,2.50000,1666.00000,0.00000,14477902817.06720,4477961135.49400,0.43000
12,2013,0.84048,0.80000,0.75000,0.75000,0.75000,1.00000,1.00000,0.83333,0.80000,2.70588,2.33333,3.00000,3.00000,2.75000,1464.00000,0.00000,16977317001866.00000,3520817058383.30000,0.24000
12,2014,0.81667,0.80000,0.75000,0.75000,0.75000,1.00000,1.00000,0.66670,0.70000,2.41176,2.16667,2.33333,3.00000,2.75000,1100.00000,0.00000,16341850000000.00000,2826500000000.00000,0.22000
13,2011,0.42857,0.00000,0.50000,0.00000,0.50000,0.66700,1.00000,0.33300,0.10000,1.87500,1.66667,2.33333,1.00000,2.50000,50.00000,0.00000,977893000000.00000,435846000000.00000,0.68500
