,Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE,BRD_INDP_DIV,BRD_MEET_DIV,BRD_SIZE_DIV,BRD_COMPT_DIV,BRD_EFFC_DIV
32,9,2011,0.35714,0,0,0,0,1,1,0.5,0.3,2.35417,1.66667,2.5,3,2.25,0,0,12.521177587,12.2738784263,0.1003,0,0,0,0,0
33,9,2012,0.36111,0,0.5,0,0,1,1,0.6667,0.6,2.41176,1.66667,2.83333,3,2.75,17.5,0,12.5365995976,11.9783394095,0.0614,29.166725,49.583275,52.5,48.125,42.2058
34,9,2013,0.47619,0,0.5,0,0,1,1,0.8333,0.7,2.35294,2,2.5,3,2.5,31.5,0,12.6044845615,11.8926506383,0.0571,63,78.75,94.5,78.75,74.11761
35,9,2014,0.75476,0.2,1,0.5,0.75,1,1,0.83333,0.6,2.17647,1.83333,2.16667,3,2.5,0,0,12.5935075893,11.8956636228,0.0434,0,0,0,0,0
36,10,2011,0.56905,0.4,0.75,0.75,0.75,0.6667,0.5,0.1667,0.2,1.97917,1.83333,2.33333,1,2.75,0,0,11.6668622845,11.0709112612,0.226,0,0,0,0,0
37,10,2012,0.27778,0,0,0.5,0.5,0.667,1,0,0.3,2.11765,1.5,2.33333,1,3,0,0,10.1999973399,10.0679190954,0.741,0,0,0,0,0
38,10,2013,0.38095,0,0,0.5,0.5,0.6667,1,0,0.3,2.23529,1.83333,2.33333,1,3,0,1,12.0329400964,9.9612873624,-0.0674,0,0,0,0,0
39,10,2014,0.61905,0,0.75,0.5,0.75,1,1,0.83333,0.4,2.23529,1.83333,2.33333,1,3,0,1,12.0054175664,10.3271818594,-0.0672,0,0,0,0,0
40,11,2011,0.35714,0,0,0,0,1,0.5,0.357,0.5,2.4375,1.83333,2.16667,3,2.75,244.1,0,12.6669857183,12.2203191666,0.48,447.515853,528.884147,732.3,671.275,594.99375
41,11,2012,0.33333,0,0,0,0.5,1,1,0.5,0.5,2.47059,2.16667,2.66667,3,2.5,380,0,12.7184608103,12.1975414016,0.376,823.3346,1013.3346,1140,950,938.8242
42,11,2013,0.33333,0,0,0,0,1,1,0.3333,0.3,2.23529,1.83333,2.33333,3,2.5,252,0,12.7679890123,12.3447235317,0.132,461.99916,587.99916,756,630,563.29308
43,11,2014,0.38095,0,0,0,0,1,1,0.83333,0.5,2.41176,2.16667,2.33333,3,2.75,110,0,12.7443974927,12.4007652158,0.001,238.3337,256.6663,330,302.5,265.2936
44,12,2011,0.94762,0.8,1,1,1,1,1,0.8333,0.7,2.72917,2.16667,3,3,2.75,407,0,13.1568447433,12.7456538391,0.51,881.83469,1221,1221,1119.25,1110.77219
45,12,2012,0.78611,0.8,0.75,0.75,0.75,1,1,0.6667,0.7,2.76471,2.66667,3,3,2.5,1666,0,10.1607056571,9.65108032,0.43,4442.67222,4998,4998,4165,4606.00686
46,12,2013,0.84048,0.8,0.75,0.75,0.75,1,1,0.83333,0.8,2.70588,2.33333,3,3,2.75,1464,0,13.2298690579,12.5466434597,0.24,3415.99512,4392,4392,4026,3961.40832
47,12,2014,0.81667,0.8,0.75,0.75,0.75,1,1,0.6667,0.7,2.41176,2.16667,2.33333,3,2.75,1100,0,13.2133012198,12.4512489898,0.22,2383.337,2566.663,3300,3025,2652.936
48,13,2011,0.42857,0,0.5,0,0.5,0.667,1,0.333,0.1,1.875,1.66667,2.33333,1,2.5,50,0,11.9902913374,11.6393330646,0.685,83.3335,116.6665,50,125,93.75
49,13,2012,0.57222,0.6,0.75,0,0.75,0.667,1,0.6667,0.5,2.47059,1.83333,2.83333,3,2.75,200,0,12.0033664353,10.8982285568,0.32,366.666,566.666,600,550,494.118
50,13,2013,0.47619,0,0.5,0.5,0,1,1,0.33333,0.4,2.52941,2,2.66667,3,3,75,0,12.1118511879,11.0195482396,0.24,150,200.00025,225,225,189.70575
51,13,2014,0.76429,0.6,0.5,1,0.75,1,1,0.5,0.5,2.29412,2.16667,2.5,1,2.5,100,0,7.9981227976,6.4231614651,0.111,216.667,250,100,250,229.412
52,14,2011,0.21429,0,0,0,0,0.667,0.5,0.333,0.1,1.83333,1.83333,2,1,2.5,0,1,11.6266581259,10.4288670483,0.0356,0,0,0,0,0
53,14,2012,0.425,0.8,0.25,0,0,1,1,0.5,0.6,2,1.5,2.33333,1,2.5,0,0,12.1114577678,10.6617094266,0.0377,0,0,0,0,0
54,14,2013,0.75714,0.8,0.75,0.75,1,0.6667,1,0.3333,0.4,2.05882,1.83333,2.16667,1,2.5,0,0,12.2590723169,10.9068681531,0.222,0,0,0,0,0
55,14,2014,0.74524,0.8,0.5,0.75,1,0.6667,1,0.5,0.5,2.17647,1.83333,2.5,1,2.5,26,0,12.3077306647,11.3500679853,0.267,47.66658,65,26,65,56.58822
56,15,2011,0,0,0,0,0,0,0,0,0,1.95833,1.83333,2.5,1,2.5,0,1,11.6570338506,10.1290252161,0.034,0,0,0,0,0
57,15,2012,0.02778,0,0,0,0,0,0,0.1667,0,1.82353,1.33333,2,1,2.5,0,1,11.567352259,10.3063593744,-0.05,0,0,0,0,0
58,15,2013,0.02381,0,0,0,0,0,0,0.1667,0,1.94118,1.66667,2,1,2.5,0,0,11.5581669268,9.267975954,0.0019,0,0,0,0,0
59,15,2014,0,0,0,0,0,0,0,0,0,1.94118,1.66667,2,1,2.5,0,1,11.4818079701,9.267975954,-0.1938,0,0,0,0,0
60,16,2011,0.45238,0,0.5,0,0,1,1,0.6667,0.5,2.375,1.66667,2.33333,3,2.5,191.9,0,12.5352918136,11.3124658624,0.3306,319.833973,447.766027,575.7,479.75,455.7625
61,16,2012,0.44444,0,0.5,0.5,0,1,1,0.6667,0.7,2.35294,1.83333,2.66667,3,2.5,202.91262,0,12.7112271793,11.6354935041,0.2623,372.005793625,541.100996375,608.73786,507.28155,477.441220103
62,16,2013,0.47619,0,0.5,0,0.5,0.6667,1,0.5,0.5,2.17647,1.83333,2.33333,3,2.25,84.63415,0,12.7931103609,11.8430123589,0.0876,155.162326219,197.47940122,253.90245,190.4268375,184.203688451
63,16,2014,0.73333,0.8,1,0,1,0.6667,1,0.6667,0.5,2.29412,1.66667,2.66667,3,2.5,86.75,0,12.7668773829,11.912288498,0.011,144.5836225,231.3336225,260.25,216.875,199.01491
64,17,2011,0.375,0,0.5,0,0.25,1,1,0.5,0.5,2.3125,2,2.6,3,2.25,0,0,11.6814031628,11.1931413017,0.03,0,0,0,0,0
65,17,2012,0.375,0,0.5,0,0.25,1,1,0.5,0.5,2.3125,2,2.6,3,2.25,0,0,11.6814031628,11.1931413017,0.03,0,0,0,0,0
66,17,2013,0.46429,0,0.5,0,0.25,1,1,0.3333,0.5,2.375,2,2.6,3,2.5,0,1,11.797025044,11.2240811292,0.04,0,0,0,0,0
67,17,2014,0.46429,0,0.5,0,0.25,1,1,0.5,0.5,2.1875,2.33333,1.83333,3,2.33333,0,1,11.8603224316,11.1020784058,-0.01,0,0,0,0,0
68,18,2011,0.2381,0,0,0,0,0.3333,1,0.3333,0.2,1.66667,1.66667,1.5,1,2.5,0,0,12.1407618834,10.5960123839,0.0097,0,0,0,0,0
69,18,2012,0.16667,0,0,0,0,0.667,0,0.3333,0.1,2.23529,1.66667,2.83333,1,2.5,0,0,12.0395657025,10.603068379,0.071,0,0,0,0,0
70,18,2013,0.14286,0,0,0,0,0.6667,0,0.6667,0.2,1.82353,1.5,1.83333,1,2.5,0,0,12.0395657025,10.603068379,0.071,0,0,0,0,0
71,18,2014,0.14286,0,0,0,0,0.6667,0,0.3333,0.2,1.82353,1.5,1.83333,1,2.5,0,0,12.2488730653,10.774216682,0.03,0,0,0,0,0
72,19,2011,0.80476,0.8,1,1,0,1,1,0.8333,0.8,2.72917,2.16667,3,3,2.75,2.66,1,12.6424595738,11.8381044875,-0.022,5.7633422,7.98,7.98,7.315,7.2595922
73,19,2012,0.65556,0.6,1,0,1,0.667,1,0.6667,0.6,2.58824,2.33333,2.66667,3,2.75,0,0,12.1560154512,10.4781993926,0.06,0,0,0,0,0
74,19,2013,0.48571,0.4,1,0,0,0.6667,1,0.5,0.5,2.35294,2.33333,2.16667,3,2.5,1.77,0,12.6405772296,12.1204706095,0.106,4.1299941,3.8350059,5.31,4.425,4.1647038
75,19,2014,0.70476,0.6,1,0,1,0.6667,1,0.6667,0.7,2.58824,2.5,2.5,3,2.75,0,0,12.6279497129,12.0253677273,0.1597,0,0,0,0,0
76,20,2011,0.40476,0,0.5,0,0,0.667,1,0.6667,0.6,2.45833,2,2.33333,3,2.5,0,0,10.2394204616,8.8841063318,0.01142,0,0,0,0,0
77,20,2012,0.37222,0.4,0.5,0,0,0.667,1,0.6667,0.4,2.23529,2,2.5,1,2.5,0,0,12.6329183713,11.9676410962,0.063,0,0,0,0,0
78,20,2013,0.4619,0.4,0.5,0,0,0.6667,1,0.6667,0.6,2.17647,2.16667,2.16667,1,2.5,0,0,9.365234635,8.1856338654,0.191,0,0,0,0,0
79,20,2014,0.48571,0.4,0.5,0,0,0.6667,1,0.8333,0.7,2.17647,1.83333,2.5,1,2.5,0,0,12.2425062181,11.1475620944,0.1029,0,0,0,0,0
